Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown
25.0,1,0,8.76974,6.168330401070892,8.30048,4.0058940164626815,True,False,False,False,False
26.0,1,0,8.41322,6.777230282797043,3.92495,6.277986651892051,False,False,False,False,True
26.0,1,0,7.02866,5.08294695961123,7.97041,6.013293216207848,False,False,False,False,True
26.0,1,1,0.48205,6.285944357536912,5.69598,4.051543218386401,False,False,True,False,False
30.0,0,0,3.34444,5.269323956476301,6.42237,6.190785847245597,False,False,False,False,True
20.0,1,1,3.30715,3.599151470001093,9.84729,3.9857849149223545,False,False,False,False,True
24.0,1,0,8.75681,3.9624013638754176,8.60971,4.095424203354256,False,False,False,False,True
23.0,0,0,1.20371,5.9429434624854265,3.87347,7.329387774305559,False,False,False,False,True
22.0,0,0,2.94507,6.422122229510235,8.992,5.301703902128094,False,True,False,False,False
27.0,0,1,2.92517,6.604879868603343,6.24021,5.986486014915252,False,False,False,False,True
26.0,1,0,2.61073,5.49330124924443,8.94839,4.910591796514717,True,False,False,False,False
32.0,0,0,4.07943,4.828017934049933,3.90206,5.885628637682632,True,False,False,False,False
22.0,1,1,3.31544,7.243162828625122,8.71843,4.8047924764896655,False,False,True,False,False
49.0,1,0,6.21975,5.917652718244832,2.68308,5.55996504671194,False,False,False,True,False
20.0,0,0,7.02982,3.7993714345955625,4.51172,6.49822991802961,False,False,False,True,False
23.0,1,1,6.42449,6.199607009726447,7.38306,4.650207208012452,False,False,False,True,False
21.0,0,0,4.60263,3.648334208974085,9.77685,3.9537267028680874,False,False,True,False,False
34.0,0,1,2.24443,5.31041885624829,8.03776,6.362067247645976,False,False,False,False,True
29.0,1,1,4.66862,5.858477349391011,9.94492,7.23461067082262,False,False,False,False,True
24.0,0,0,4.22786,3.559550859424053,1.83085,5.508867110535993,False,False,True,False,False
25.0,1,0,6.78979,4.76009246305908,2.0192,6.670124730905131,True,False,False,False,False
33.0,1,0,5.78463,6.724247342118115,4.92323,5.822278589861088,False,False,True,False,False
